,0
383,"Жизнь, братан — это волчья тропа, по которой нужно пройти оскалив зубы, но при этом остаться человеком…"
384,За слезы сестры можно убить. За счастье матери можно слезы пустить. За отца жизнь отдать. За брата перед пулей стать. За друга любого порвать.
385,"Держитесь друг за друга, брат за брата, и будет все."
386,"Настоящий друг не скажет: «Фу, да она стрёмная». Настоящий друг скажет: «Брат, если ты ее любишь, значит, она самая лучшая!»"
387,"Если братишка рядом, то враги падают градом."
388,"Хорошо, когда есть братья не те, с которыми в родственных отношениях, а те, которые стали в жизни."
389,"Исповедуюсь я только брату: он хоть и не всегда ангел, зато всегда поддержит и поймет."
390,"Уважаю отца... люблю мать.. убью за сестренку... порву за ту, к которой отношусь серьезно... отдам послееднее за друзей... уверен в братьях…"
391,"Хоть в детстве с братом все время воевали, теперь мы выросли и стали лучшими друзьями! Приятно и весело вспоминать былое!"
392,"Дай Бог здоровья каждой маме, чьих детей я называю братанами."
393,"Иногда я думаю, что брат – это слившиеся воедино ангел и черт… причем мои же!"
394,"— Брат, а ты знаешь что пролетает быстрее, чем ракета? Что проходит как одно мгновенье? — Нет, что это? — Это жизнь, брат, да, жизнь"
395,"— Друг лучше или брат? — Брат, когда он и друг, — лучше."
396,"По-любому, братка, нам далеко до конечной."
397,"Если от некоторых слово «братан» звучит приятно, то от других — противно!"
398,"В жизни рядом со мной появляются разные люди, большая часть из них отсеется, и лишь единицы, которые схожи со мной, встанут со мной в одну линию и пройдут до конца..."
399,"Братишка, будь сильным, ведь в жизни много препятствий, которые нужно преодолевать."
400,"Заходи, для тебя всегда найдется место!"
401,"В мире есть только два нормальных парня, но один мой папа, а другой брат."
402,"Случится такое: сядешь на год, не беда – девчонка ждет. Случится несчастье: сядешь на два – подождет тебя братва. Если прокурор загонит на пять – будет ждать только родная мать."
403,Никогда не думай и не говори о братанах плохо!
404,"Держитесь друг за друга, брат за брата, и будет все пи*дато!"
405,"Мои друзья! Тост за братву. Чтоб она всегда была, чтоб в любую сложную минуту была рядом, и тот, кто не прав, получил сполна."
406,"Друзья часто появляются в твоей жизни и исчезают, а брат — это навсегда! "
407,"Бог спасет, братва поможет!"
408,"Родители здоровы, и брат звонил вчера. Это есть богатство, остальное мишура."
409,"Запомни, брат! Друзья разные бывают. Кто-то слова лихо кидает, а кто-то реально на деле помогает."
410,"И всё-таки, это круто, когда есть старший брат!"
411,"По-любому, ты брат мне!"
412,"Как это мило, когда чёткий пацан в Адидасе, со словами «Садись, хуле», уступает бабушке место в автобусе…"
413,"Самое крутое в телефоне пацана, ни его стоимость, ни количество функций, а его любимая девушка на заставке."
414,"Дорогу к дому всем Пацанам, любви взаимной для милых дам, здоровье Маме на сотни лет, скажи, братан, базару нет..."
415,Друзья стоят друг за друга до конца. До самого гребного конца.
416,"Мы, пацаны, не обижаемся - мы делаем выводы!"
417,"Если что не понял - читай по губам: ""фак мусарам, свободу пацанам""."
418,"Пацан симпатяга, по жизни бродяга. Походка блатная, жизнь воровская, бродяга по жизни, вор по нужде. Кайфарик по масти, романтик в душе..."
419,"И пожелаю я братве фартовой воли на земле, здоровья, духу, пацаны, и пусть не трогают менты! "
420,"Я не стремлюсь нравиться людям. Всем, кому надо — я уже нравлюсь! Для Всех Хорошим Не Будешь!"
421,"Пацан сказал, пацан сделал! Пацан не сделал, пацан ещё раз сказал!"
422,Мечта любого пацана — это держать в руках сына от любимой девушки.
423,"С пацанами проще, они не строят обидки, они не крутят сплетни вокруг, с ними просто можно поржать или получить поддержку."
424,Розы любят воду... пацаны свободу... розы гибнут на газонах... пацаны на красных зонах...
425,"Мудрецу даны знания, мужику умения, пацану — понятия..."
426,Четкие статусы для пацанов - Для нас нет закона — мы пацаны с района.
427,"Девушку найти хотел одну, с которой прожить смогу, а нашел без которой не смогу, за нее любому пасть порву, пацаны, я ее люблю..."
428,Принцип пацанский. Поляна по-царски. Всегда для своих - от души и по-братски.
429,"Нас меняет не жизнь, нас меняют люди."
430,"Я не нарушаю правила, я играю по своим!!!"
431,"Безнадежно, это когда земля падает на крышку гроба…"
432,"Чтобы мечты становились реальностью, мысли должны становиться действиями."
433,"Будет новый рассвет — будет море побед и не верь никогда в то, что выхода нет."
434,"В жизни есть много, что я себе не позволю, но нет ничего, что мне могли бы запретить."
435,"Даже после самых неудачных моментов,в жизни наступает что-то гораздо лучшее."
436,"Успех к тебе придет, если ты умеешь ждать…"
437,"Цени друзей, которые проверенные годами."
438,Возьми себя в руки и не распускай сопли! Ты же мужик!
439,"Жизнь полосатая, но цвета мы выбираем сами."
440,"Играй за имя на груди своей футболки и тогда все запомнят то, что на спине."
441,"Если человек сам следит за своим здоровьем, то трудно найти врача, который знал бы лучше полезное для его здоровья, чем он сам."
442,"Я не ревнивый, просто ему без зубов действительно лучше!"
443,"Не нервничай! Не восстанавливаются не только нервные клетки, но и коренные зубы!"
444,"Боксера огорчить может каждый, но не каждый успеет извиниться!"
445,"Брат, ты с ней расстался? — Да! — Ты её любишь? — Нет! — Тогда я ей дружбу предложу? — Челюсть тебе сломаю, за такие предложения!"
446,"Меня обидеть — раз плюнуть, но плевать придется кровью, собирая зубы сломанными руками."
447,"А ты рисковый! Пи*деть любишь, а бегать не умеешь."
448,"Тебе успокоиться надо… может, съездить куда-нибудь?.. В челюсть, например?!"
449,"Мы так отважны потому, что не ждём поблажки."
450,"И пока мое сердце будет биться, я буду гордится местом где было суждено родиться!"
451,"Цитаты для пацанов — Как это мило, когда чёткий пацан в Адидасе, со словами «Садись, хуле», уступает бабушке место в автобусе…"
452,"Дорогу к дому всем Пацанам, любви взаимной для милых дам, здоровье Маме на сотни лет, скажи, братан, базару нет…"
453,"Тренируйся с тем, кто выжимает больше тебя или бегает быстрее."
454,В гонке за лидером ты растешь в два раза быстрее.
455,"И пожелаю я братве фартовой воли на земле, здоровья, духу, пацаны, и пусть не трогают менты!"
456,"Любовь — это общение, радостное для обоих, но непонятное всем."
457,"Если человек может сказать, что такое любовь, значит, он никого не любил."
458,"Когда нечего терять, теряют принципы."
459,"Платоническая любовь не знает объятий, потому что бесконечность нельзя обнять."
460,Любить кого-нибудь означает желать этому человеку только добра.
461,"Любите друг друга, но не раньте друг друга."
462,"Когда женщина влюбляется впервые, она любит своего любовника."
463,"Любовь сохраняет красоту, а тело женщины живёт ласками, как пчела цветами."
464,"Девушке обязательно надо кого-то любить, иначе она будет всех ненавидеть."
465,Женщины одновременно желают самого великого и самого ничтожного. Они требуют любви и учтивости — миллион на булавки.
466,"В любви люди познают друг друга и принимают таковым, а не создают себе идеала!"
467,"У каждого есть такие места, забыть о которых невозможно, хотя бы потому, что там воздух помнит твое счастливое дыхание."
468,"Женщина никогда не считает очень умным мужчину, который в нее влюблен."
469,Amorem canat aetas prima — пусть юность поет о любви.
470,Amor tussisque non celantur — любовь и кашель не скроешь.
471,"Если человек не влюблялся до сорока лет, то лучше ему не влюбляться и после."
472,"У любящего мужчины: женщина дома голая, а на улице в шапке."
473,"Сладострастие, пожелав стать религией, изобрело любовь."
474,Любовь к человеку очень часто бывает сильнее любви к себе.
475,"Если кто-то любит тебя не так, как тебе хочется, это не значит, что он не любит тебя всем сердцем."
476,"Возможно, мы больше любим тех, кого поддерживаем, чем тех, кто поддерживает нас. Наше тщеславие порой имеет для нас больший вес, чем личные интересы."
477,"У волков нет правил поведения. Они им не нужны. Волкам, чтобы быть волками, не нужны никакие правила."
478,"Тогда, когда всего добьешься в жизни, больше всего волком завыть хочется."
479,"Когда-то давно старый индеец рассказал своему внуку одну жизненную истину. Внутри каждого человека идет борьба очень похожая на борьбу двух волков. Один волк представляет зло, зависть, ревность, эгоизм, амбиции, ложь… Другой волк представляет любовь, милосердие, мир, дружелюбие, истину, доброту, верность"
480,Волка добрым словом не проймёшь.
481,"Мужчины, конечно, все кобели, но кто-то из них как пёс — с разными сучками, а кто-то как волк — либо один, либо с одной волчицей навсегда…"
482,Работа не волк — в лес не убежит
483,"Общаться с компьютерными волками — это очень странный опыт. Тебе в лицо суют большую зеленую колбасу-манекен, а тебе нужно вести себя с ней, как с любимым питомцем. Это очень, очень странно."
484,"Работа не волк, но и на нее охотники есть."
485,"Волки мы — хороша наша волчая жизнь, вы собаки — и смерть вам собачья!"
486,"Знакомый оборачивается к тебе только своими лучшими сторонами, он внимателен, учтив, он скрывает свои дурные свойства за маской общепринятой благопристойности. Но сойдись с ним поближе, и он отбросит маску, не даст себе труда притворяться, и перед тобой предстанет существо такое низкое, натура такая заурядная, слабая, продажная, что ты ужаснешься, если еще не понял, — таков человек по природе своей и осуждать его так же глупо, как осуждать волка за волчий аппетит или кобру за смертельный укус. Суть человеческой натуры — эгоизм. В эгоизме и сила его и слабость."
487,Беззубый волк сделал последние минуты зайца незабываемыми.
488,"Волк находит утешение в вое, баран — в теплой шерсти, лес — в малиновке, женщина — в любви, философ же — в поучительном изречении."
489,"Мошенник умеет пустить пыль в глаза, сбить с толку обоняние совершенной гармоничностью запаха, волк в овечьей шкуре классического искусства, вот кто эта бестия, — словом, чудовище с талантом. А это хуже, чем какой-нибудь бездарный неумеха, не осознающий своего невежества."
490,"Пойманный волк лег на снег и опустил голову; он не метался, как изловленная лисица. Он проиграл эту жизнь, и, подчинившись неизбежному, покорно, спокойно и презрительно ждал конца."
491,Я волк! Я волк свободного племени
492,"Смотреть в глаза — не храбрость, просто неопытность. Храбрость — смотреть, когда волки кусали тебя много раз."
493,"Живи, люби, кради, гуляй, купи весь мир, потом отдай! Всегда лишь помни вещь одну не забывай свою братву!"
494,"Не говорите мне о жизни с чистого листа. Вы не знаете, что такое выбираться из минуса."
495,"Родители здоровы, и брат звонил вчера, Это есть богатство, остальное мишура."
496,"«И чё?» — фраза, о которую разбиваются все доводы"
497,"Осуждаете меня за мой непростой характер? А как по-другому? Пацан без характера – тряпка.Не уверен – не обещай. Нет ничего хуже, чем быть треплом."
498,"Мне плевать на тех, кто меня ненавидит. Я живу ради тех людей, которые меня любят."
499,Два пацана послали друг-друга нахер и пошли туда вместе… Вот это дружба.
500,В жизни так бывает — пацаны своих теряют…
501,"Жизнь — боль, особенно, когда ты моль."
502,"«Есть, такие люди, которым реально хочется сказать спасибо, хотя бы за то, что они есть.»"
503,"Жизнь — игра, играй красиво…"
504,Ты — или другой. Бери — или отнимут. Не нанесешь удар — ударят тебя. Не припугнешь — запугают тебя. Такова правда жизни.
505,"Не кривите так часто душой, кривая может не туда вывести…"
506,Мужчина в жизни никогда не должен жаловаться на две вещи: на жену и на машину. Сам выбирал.
507,"Бог создал вора, а черт прокурора, плывите пацаны туда, где нет труда, где нет законов и суда…"
508,"Никогда, ни при каких обстоятельствах нельзя опускать руки. Любые трудности — это не наказание за прошлое, а испытание ради будущего."
509,"Мама учит быть добрым, папа учит быть гордым. А брат ничему не учит, просто сказал: «Обидят, порву!»."
510,"Без нужды не доставай, без славы не всовывай."
511,Бог создал Вора — черт прокурора!
512,В курятнике и задница – поющая канарейка.
513,"Ворам по карте, ментам по спарте!"
514,"По карте ворам, по хлебалу мусорам."
515,Воровская жизнь не сахар и не каждый пройдет ее до конца достойно.
516,"Воровские понятия в книгах не писаны – передаются братве по цыганскому радио. Преподают их в тюрьме, зоне, камере и на этапе короли преступного мира."
517,"Воровству синоним суицид, проще говоря, воры – самоубийцы."
518,Играй! даже если боишься проиграть!
519,Крови нет- менты попили.
520,"Люби свободу, как жизнь."
521,"Лучше иметь ворующего сына, чем стелящуюся дочь."
522,"Люби свободу, как жизнь. — Воровские цитаты и статусы"
523,Мы тут решили на дачу к тебе поехать на следующие выходные. Поедешь с нами?
524,"Настоящими Ворами рождаются, а не становятся."
525,Не стучись козёл…закрыто на ремонт
526,"Не ходи,стуча, делай дело сообща."
527,"О, боже мать, но где же правда."
528,Преступившие закон в долгу не любят оставаться.
529,"Святого в этом мире нет, но есть закон, тюрьма и судьи, что загубили жизни цвет, ломая молодые судьбы."
530,"Среди нас суки, которые жмут нам золотые руки. Найдутся, точно и верно, бляди, которые подло подходят сзади."
531,"Судьба мне трудности готовит, встречает вновь меня тюрьма."
532,тюрьма для зэков-университет преступности.
533,"Хоть миллион вор пробухает, на друзей истратит и снова станет воровать."
534,"Хочешь смачно пить, смолить и жрать – много нужно воровать."
535,Хочешь узнать реальную жизнь бродяги-будь им.
536,Для зэков хата – криминальна академия или институт преступных отношений.
537,"Если вы не помните, когда в последний раз у вас была женщина, — это уже не склероз"
538,"если хочешь пить и жрать, надо много воровать."
539,"Жизнь Ворам и аферистам, смерть бл*дям и активистам"
540,"За верность любовь, за предательство смерть. — Воровские статусы"
541,"Зона – это не место. Зона – испытание, концовки которого может быть лишь две: человек или выдержит его, или нет. Ну а это уже зависит от самого человека и его уважения к себе, умения отличить важное от второстепенного."
542,"Я думаю, что, если бы я не был позитивным, я бы не вставал с постели."
543,"Я в равных частях как гений, так и шут."
544,"Для начало разговором решить, если не поймет, то об асфальт черпани вниз головой))"
545,"Пацан не тот кто первым в ебало дал, а тот кто нашёл в себе силы признать что он не прав! и если другой не оценил этого поступка то тогда уже надо бить ЕГО по ЕГО ебалу))"
546,"Я живу, как умею…Не о чём не жалею. Нахожу и теряю, и с нуля начинаю, я бы вам рассказал да меня не спросили, как порой предавали, даже те кто любили,только я не сдавался,я сквозь слёзы смеялся, и чтоб не случилось,я СОБОЙ оставался!"
547,"удет новый рассвет — будет море побед и не верь никогда в то, что выхода нет."
548,"Сотни синяков и ссадин,растяжений и вывехов, тысячи тренировочных часов, миллионы капель пролитого пота лишь для того,чтобы стать еще лучше…"
549,"Что любит отец, то и сыну по душе"
550,"Из-за последних тенденций в моде, мне все труднее определить, где в магазине мужской отдел, а где женский"
551,"Они говорят,что сигарета меня убивает эти глупцы просто не знают,сколько раз она меня спасала."
552,"Вредная эта привычка, что сказать, но избавиться от неё сложно."
553,— Как я отношусь к сексу?.. Да я ему жизнью обязан!
554,"Мужчину характеризуют четыре ситуации: как он дерется, как считает деньги, как смотрит на детей и как заканчивает отношения."
555,"Я не хочу быть журналистом и светиться в телике, я хочу стать бандитом и двигаться на гелике."
556,"Когда ты преодолеешь свои страхи, ты узнаешь — кто ты есть."
557,"Пацаны любят хороших и приличных девочек , но сходят с ума от капризных и невыносимо сложных девушек.."
558,"Дикий Гордый. Никому не Покорный. Борзый Дерзкий как пуля Резкий……..не кому не Обязан,не к чему не Привязан,Никому не Подобен,потому и свободен."
559,"Думать надо головой, любить-сердцем, чуять — попой, и самое главное — ничего не перепутать.."
560,"Счастье не в деньгах, но грустить лучше в BMW, чем в маршрутке)"
561,"Еще и тачка закатанна со лбом, под сиденьем ствол, большие диски, голубой ксенон."
562,"Кому нибудь мы обязательно понадобимся такими, какие мы есть…"
563,"Ошибаюсь, обжигаюсь, иду дальше — улыбаюсь. Хочу плакать, не сдаюсь! Всё в порядке — я прорвусь!"
564,Страх — пустая трата времени. Выйди и покажи — кто лучший!
565,"Шлю нахуй тех, кто предавал , ценю тех, кто со мною спина спиною стоял."
566,Один точный удар в челюсть заменяет 3 часа воспитательной беседы.
567,Слабый предаст — боль его сломает. Сильный биться будет до конца. Сильных — трудность только закаляет! Слабых — превращает в подлеца!
568,"А ты вспомни братан какими раньше мы были… Как росли, продвигались и впервые полюбили!"
569,наши сразу сделали конфетку) а Баварцы спустя 20 лет)
570,Умеют же наши
571,"Сaмоe сложноe — это тaк долго ждaть, и в сaмом концe узнaть, что нaпрaсно."
572,"Есть девушки, а есть тёлки."
573,Сложно не заметить разницу.
574,"Цени людей, которые не боятся испортить себе репутацию и держат тебя за руку, даже если против тебя повернулись остальные!"
575,Никогда не слушайте советов по поводу любви. Потому что история у каждого своя.
576,"Некоторые думают, что они поднялись. На самом деле, они просто всплыли.."
577,"Мне по.. на тех, кто решил до меня доебаться у меня стальные яйца и броня в два пальца!!!"
578,Говоришь географию хорошо знаешь???нахуй пошлю не заблудишься???
579,"Слышь, дура, возьми себя в руки и не распускай сопли! Ты же мужик!!!"
580,"Будь в первую очередь личностью, а не серой массой как это ёба*ое большинство."
581,"Размотаю любого, кто к тебе подойдет, так что передай своему стаду баранов,что бы паслись подальше отсюда."
582,Душа в психушке. Сердце в реанимации. Мозг в а*уе
583,"Почему девушки не страусы? Напугал, и радуйся жизни))"
584,"И даже когда мир сошел с ума , оставайся собой."
585,Остальное еще можно исправить.
586,"А ведь правы были те люди, которые 10 лет назад говорили: «Подрастешь поймешь»."
587,"Я такой какой я есть. И мои главные достоинства — это кулаки, совесть и честь…"
588,"Тренируйся с теми , кто сильнее."
589,"Люби того, кого нельзя."
590,"Не сдавайся там , где сдаются другие."
591,"Просто верь в себя , просто будь самим собой."
592,"Просто делай , что должен , думай своей головой."
593,"Успех к тебе придет , если ты умеешь ждать.."
594,"Глупый будет до конца зол , а умный будет прощать."
595,"Всё остаётся как и есть,ты прав и готов за это боротся до конца, значит ты победитель!!!ты сильнее!!!!"
596,Если пацан посадил девушку за руль своей машины — 100% он ее любит!
597,"Ну не все девушки не умеют водить, есть такие девушки которые водят лучше нас с вами всех взятых!"
598,"Хреново, конечно, когда теряешь друга, но, еще хуже, когда понимаешь, что его никогда и не было."
599,"Будь жесток к себе, если не хочешь, что бы другие к тебе были жестоки."
600,"Я не нарушаю правила, я играю по своим."
601,— Со мной девушка порвала… Причем еще прислала фотки где она с моим другом трахается… — И ты что? — Отослал эти фотки ее отцу…
602,С пацанами одной масти — мудакам рвём пасти.
603,"Золото — не то, что блестит, а то, что бегает, смеётся и переворачивает всё верх дном…"
604,"Когда сбываются самые заветные мечты, следует ожидать, что рано или поздно судьба предъявит тебе счет."
605,Пацана видно сразу! Где бы он ни был.
606,"Когда я вижу её ноги у меня резко поднимается настроение, а с поднятым настроением ужасно некомфортно ходить."
607,"Любая статья в Уголовном Кодексе должна начинаться словами: «Если поймают, то…»"
608,"Уже забыл я запах водки, и дни, когда я пьяный был! Я изменил свою походку, но вас, ДРУЗЬЯ, я не забыл!"
609,Кто однажды ударил женщину — навсегда убил в себе мужчину!
610,"Спортивные парни самые ревнивые, потому что у них девушки — самые красивые."
611,"Улица…я ей дышу, и благодаря ей — я сильным становлюсь."
612,"Расскажите друзьям, если хотите попросить прощения у них за все!"
613,И самое главное не забудьте попросить прощение у родителей!
614,Делай тихо и о тебе заговорят громко…!
615,"Жизнь — это спектакль, и важно не то, как долго он длится, а будут ли в конце аплодисменты…"
616,"Чем меньше родители знают обо мне, тем спокойнее и им, и мне."
617,Главное в жизни ОНА и ещё раз ОНА.
618,"Та которая родила, и воспитать смогла."
619,"Пацаны не плачут, они выходят на лестницу покурить.."
620,Каждый выбирает сам выйти покурить или прост подышать свежим воздухом подумать.
621,"Увы, в школе дают знания, а не мудрость. Мудрость жизни я получаю на улицах."
622,"Держитесь друг за друга, брат за брата и будет все пиздато!"
623,"И пусть судьба не справедлива, но жизнь — игра, играй красиво."
624,В этой жизни главное — человеком быть!
625,Родной подъезд и здесь всем хватало места.
626,"Соседи бесятся, а нам было весело."
627,Ошибки в жизни -дают нам опыт .
628,"Никогда не бойся , когда ты один."
629,Будь уверен в себе всегда.
630,"Не зная дна, не суйся в воду — храни любовь, цени свободу…."
631,"Невозможно победить того, кто никогда не сдается."
632,"Привози кого хочешь, мы любому обоснуем, кто ты и что ты, понял?"
633,"Жизнь, братан — это волчья тропа, по которой нужно пройти оскалив зубы, но при этом остаться человеком.."
634,"Не важно где ты, и скем ты.! Главное ты пацан,за свою родню любому в глаз дам."
635,"Однажды, я приеду и заберу то, что мне принадлежит… И твои родители будут искать тебя …"
636,"Кто брата моего обидит, тот лес с багажника увидит."
637,"Выбирайте придавать, либо быть с братьями — Иметь мнение, либо будут иметь тебя…"
638,"Пусть его повадки грубы, но только лишь на первый взгляд. Знайте, волки — однолюбы, псы же, любят всех подряд…"
639,"Когда вам кажется, что простить нельзя, вспомните сколько прощено Вам.."
640,"Материальные ценности не постоянны, сегодня ты на мазде, завтра на бэхе, а после завтра на метро, важно беречь тех людей которые прошли всё это с тобой и были рядом, которые давали поддержку и стимул не отчаиваться."
641,"«По мере того как ты взрослеешь, тебе все меньше хочется дать кому-нибудь в морду. Намного сильнее хочется по-дружески обнять человека»."
642,"За четкую девочку, всегда четкие ребята.."
643,"Ради одних я пойду на край света, а ради других я даже не подойду к телефону."
644,"Когда желанье есть — есть тысячи возможностей,"
645,Когда желанья нет — есть тысячи причин.
646,С каждым такое было. Молча стоишь.Улыбаешься. А боль изнутри ломает рёбра…
647,"Я буду мужиком пока по земле еще ходят настоящие женщины, те женщины которые не пахнут сигаретами и пивом, которые обладают природным обоянием и добротой, в которых еще не умер инстинкт материнства…А не те крашенные стервы общающиеся матом, потерявшие женственность,которых интересуют только красивые шмотки,дорогие машины и бесконечные тусовки, которые готовы раздвинуть ноги перед толстым кошельком…"
648,"Поймет не тот,кто много видел,а тот,кто много потерял..Простит не тот,кто не обидел,а тот,кто многое прощал…Счастья встречи не узнает,кто расставанием не дышал…Лишь тот, кто многое теряет, тот цену многому познал!"
649,"Я медленно но верно терял себя, пытаясь стать кем-то для тебя…"
650,"Надо: Пацанов своих ценить, свою девочку любить, родителей уважать."
651,"Нахуй надо было кому-то верить, но я верил, получив за это в полной мере."
652,"Пройдет время, мы пройдем мимо. Я крикну твоё имя, но позову не тебя, а сына."
653,Лучшее украшение девушки — скромность... и полупрозрачное белье.
654,"Из мелкой шпаны, которая устраивает движухи, вырастают серьезные авторитеты."
655,"Иду не спеша,прохладно. А дома ждет мама,приятно."
656,"Друг поднимет тебя, когда ты упал. Хороший друг протянет руку, когда ты начнешь падать. Лучший друг не допустит твоего падения!"
657,Хочешь быть первым? — Тогда уходи с тренировки последним.
658,"Россия — наша страна, чё хотим то и делаем.. Остальные? — они курят в сторонке.."
659,Ведь иногда мечты сгорают!
660,"Мечта как труп, умерла…умерла…"
661,"Хорошо, что есть время, расстояние и трудности. Порой, именно они дают понять, кто любит, кто дружит, а кто не так уж и нужен."
662,"По личику видно сразу, что спортсменка"
663,"Это пацанская движуха, чувааааак!"
664,"У нас у каждого свои движения, кто будит жить по красоте покажет время!"
665,"У каждого спортсмена есть своя малышка ,за которую он готов применить все свои тренировки и мышцы, лишь бы малышка чувствовала себя в безопасности находясь рядом с ним."
666,"Убит не горем, а скорее радостью."
667,Настоящая дружба начинается с детства.
668,"Красивых много, родная одна."
669,"Вместо того, чтобы верить слухам — подойди и спроси."
670,"Жизнь — хитрая штука. Как только у тебя в руках оказываются все карты, она вдруг начинает играть в шахматы."
671,"Иногда полезно помолчать, чтобы тебя услышали… И исчезнуть, чтобы тебя заметили…"
672,"Спасибо Матери с Отцом, что я родился пацаном."
673,"Бывает самое откровенное мы говорим в шутку, чтоб никто не понял, что это правда."
674,"Нет ничего хуже, чем знать, что у тебя была возможность, а ты ей не воспользовался."
675,"Когда я вижу её ноги у меня резко поднимается настроение, а с поднятым настроением ужасно некомфортно ходить"
676,"Расстояние существует для того что бы скучать, а не изменять."
677,"Три вещи труднее всего сказать: я люблю тебя, прости, помоги мне…"
678,"Какая разница? Люди пришли, люди ушли. Главное смотреть, кто остается. А остаются единицы, которые по-настоящему тебя любят и дорожат тобой."
679,"Запомни ты нужен тем, кто первый пишет и звонит.Остальные плевать на тебя хотели."
680,"Чем меньше родители знают обо мне, тем спокойнее и им, и мне"
681,"Уважайте тех, кто для вас много чего сделал."
682,"Дружба между мужчиной и женщиной часто переходит в романтические отношения, после чего можно обрести любимого человека, либо потерять друга…"
683,"Спасибо Вам девушки, что занимаетесь спортом. Вы даёте нам шанс дышать Вами, любить Вас, быть опорой по жизни."
684,делай тихо и о тебе заговорят громко…!- пацанские статусы и цитаты
685,"Не просил не унижался,я не верил не боялся…Если бил то бил за дело не сторонник беспредела!"
686,"Братаны приходят красиво, уходят шумно!"
687,"Забудь чeму тeбя учили,живи как звeрь,срeди звeрeй.Бeй пeрвым,чтоб тeбя нe били.Увидишь слeзы,бeй сильнeй."
688,"Самый надёжный план: «По.., на месте разберёмся!»"
689,"Человеком надо быть стараться, а не падлой сученной!"
690,"Кто не курит и не пьет — ровно дышит, сильно бьет!"
691,"Не жалей себя, трудись до изнеможения, до слез и результат не заставит себя ждать!"
692,Иногда читаешь старые сообщения в контакте и думаешь : » Под чем я тогда был?!
693,"В коридоре твои найки, ты в моей майке, у нас война как в Counter Strike’е"
694,"В моей жизни было и будет всякое, но со мной люди чаще смеялись, чем плакали."
695,"Не стоит кричать всем, что ты счастлив, стоит сказать маленькое спасибо тому, кто дарит тебе это счастье."
696,"Думаешь круто курить, пить? Нет, брат, круто делать сотку от пола…"
697,"Парень должен уметь постоять за себя и за свою девушку, а не носить узкие джинсы и косить под смазливого гея с челочкой…"
698,"По мере того как ты взрослеешь, тебе все меньше хочется дать кому-нибудь в морду. Намного сильнее хочется по-дружески обнять человека."
699,"Время не лечит,время меняет…"
700,"Кто-то жмёт, а кто-то бухает…"
701,"Не тот брат, кто на пару гуляет, а тот, кто в беде помогает…"
702,"Я не хуже других, но лучше многих…"
703,"Я уже не скучаю по прошлому, я боюсь потерять настоящее!"
704,Если девушка обижается — радуйся. Ты ей небезразличен.
705,"Красивых много, родная — одна."
706,"Мне по*уй, кто там тобою еще дышит, но мне сейчас без тебя реально сносит крышу…"
707,"Есть люди, которым можно дать и 10-й шанс, а есть те, для кого и 1-й был явно лишним."
708,"Каждый парень должен искать такую, которую ласкал только ветер."
709,"Любимая, я тебе конечно верю, но поверь, и сам пиздеть умею…"
710,"Братья – это когда слушают, понимают, не осуждают, а в трудные минуты, за тебя всех в пыль стирают…"
711,Счастье — это когда в доме нет больных. В тюрьме — нет родных. Среди друзей — нет гнилых
712,"От необдуманных поступков,нас спасет только нулевой баланс…"
713,"Усвой закон этой сегодняшней дружбы, не впрягайся за тех, кому это не нужно…"
714,"Все могут видеть, как ты выглядишь внешне, но очень мало тех, кто знает что у тебя в душе!"
715,"После расставания я удалил тебя из друзей, чтобы забыть…и добавил в закладки, чтобы не потерять…"
716,"Не важно сколько «мне нравится» на твоей стене, сколько друзей вконтакте, сколько записей на стене, людей в закладках, и подарков, важно скольким людям ты дорог в жизни."
717,Твои объятия дороже всего на свете!
718,"Представляешь, братан, ни с того ни с сего она мне пишет «Прости, мы должны расстаться». Я офигел, но ответил «Мечтать не вредно!»"
719,"Брат — это одна душа, живущая в двух телах."
720,"Ломай, круши, но делай так, чтоб от души."
721,"Если тебе трудно — значит, ты идешь в правильном направлении."
722,"Кому айфон, а кому жизнь и маму.."
723,"Как ни крути, но потери заставляют людей меняться"
724,"Мама не поймёт, папа не оценит, но улица помогает решать проблемы"
725,"Где бы ты ни был, кем бы не стал, не позорь тех, кто тебя воспитал"
726,"Всё уже не так как раньше. Время убегает дальше. Кто то ближе, кто то дальше. Как жаль, что мы стали старше."
727,"Мы не богаты, но кайфуем как Магнаты…"
728,"Никогда не говори «сдаюсь». Всегда повторяй: «Я могу, и я буду пытаться, пока не добьюсь победы»"
729,"Главное, что о тебе думают, люди которых ты называешь Братья.."
730,Сбили с ног — сражайся на коленях! Встать не можешь — лёжа наступай!
731,"Не прошу у Бога ни денег, ни славы, а прошу лишь, чтоб вечно билось сердце у Мамы."
732,"Держи слово и держи удар это тебе в жизни пригодиться, братан."
733,"Какой самый страшный удар? Тот, которого ты не видишь."
734,"Невозможно победить того, кто не сдается."
735,"Ты та, в которой я уверен, без доли сомнения. Не подведи меня."
736,"Если меня мама учила быть культурным, это не значит, что я не врежу ногой в глаз, как меня учил папа."
737,Лучший способ сохранить своих друзей — не предавать их.
738,"И пусть я одинок,но мои друзья всегда будут рядом."
739,"Что бы ни случилось, нужно помнить — это всего лишь жизнь, и мы прорвемся!"
740,"Надоело стараться поддерживать отношения с теми, кому не до тебя. отныне: нет взаимности, нет общения. И будь что будет,мне похуй честно."
